t,vx_cmd,vy_cmd,wz_cmd,tilt_rad,height,hip_spread,tau_max,q_err_max
0.000,0.000,0.000,0.000,0.1418,0.2265,0.1309,9.73,0.9844
0.021,0.000,0.000,0.000,0.1406,0.2262,0.1288,39.37,1.0075
0.041,0.000,0.000,0.000,0.1302,0.2263,0.1317,36.90,0.9239
0.060,0.000,0.000,0.000,0.1117,0.2285,0.1437,30.42,0.7550
0.082,0.000,0.000,0.000,0.0870,0.2348,0.1424,20.07,0.6143
0.100,0.000,0.000,0.000,0.0746,0.2403,0.1303,13.90,0.6891
0.120,0.000,0.000,0.000,0.0663,0.2487,0.1112,12.76,0.6085
0.142,0.000,0.000,0.000,0.0668,0.2518,0.1013,11.78,0.4506
0.160,0.000,0.000,0.000,0.0669,0.2603,0.0880,9.94,0.4412
0.181,0.000,0.000,0.000,0.0515,0.2659,0.0778,6.47,0.4142
0.200,0.000,0.000,0.000,0.0461,0.2675,0.0747,6.04,0.3686
0.221,0.000,0.000,0.000,0.0223,0.2724,0.0717,12.78,0.2538
0.240,0.000,0.000,0.000,0.0236,0.2738,0.0715,5.94,0.3321
0.262,0.000,0.000,0.000,0.0388,0.2766,0.0873,12.97,0.4261
0.281,0.000,0.000,0.000,0.0282,0.2764,0.0931,15.35,0.1942
0.301,0.000,0.000,0.000,0.0170,0.2772,0.1011,7.20,0.4601
0.322,0.000,0.000,0.000,0.0171,0.2771,0.1021,18.70,0.2227
0.340,0.000,0.000,0.000,0.0364,0.2779,0.1047,5.57,0.3074
0.360,0.000,0.000,0.000,0.0470,0.2792,0.1057,13.57,0.4412
0.382,0.000,0.000,0.000,0.0094,0.2789,0.1048,15.70,0.2074
0.401,0.000,0.000,0.000,0.0200,0.2798,0.1088,9.50,0.3471
0.420,0.000,0.000,0.000,0.0136,0.2792,0.1072,12.80,0.1325
0.442,0.000,0.000,0.000,0.0169,0.2791,0.1065,4.57,0.2387
0.461,0.000,0.000,0.000,0.0192,0.2794,0.1054,10.10,0.1966
0.481,0.000,0.000,0.000,0.0052,0.2789,0.1055,7.53,0.2066
0.501,0.000,0.000,0.000,0.0062,0.2779,0.1052,9.30,0.1701
0.522,0.000,0.000,0.000,0.0070,0.2770,0.1052,6.34,0.1286
0.540,0.000,0.000,0.000,0.0151,0.2764,0.1059,6.44,0.1879
0.561,0.000,0.000,0.000,0.0109,0.2754,0.1061,8.48,0.1809
0.580,0.000,0.000,0.000,0.0063,0.2745,0.1063,7.45,0.1799
0.601,0.000,0.000,0.000,0.0197,0.2735,0.1065,9.02,0.1908
0.621,0.000,0.000,0.000,0.0132,0.2729,0.1066,7.83,0.1381
0.641,0.000,0.000,0.000,0.0086,0.2719,0.1068,7.12,0.1845
0.660,0.000,0.000,0.000,0.0057,0.2708,0.1068,8.10,0.1205
0.681,0.000,0.000,0.000,0.0030,0.2706,0.1068,7.79,0.1827
0.700,0.000,0.000,0.000,0.0071,0.2692,0.1071,8.73,0.1774
0.721,0.000,0.000,0.000,0.0044,0.2684,0.1072,7.24,0.1690
0.741,0.000,0.000,0.000,0.0104,0.2676,0.1074,7.81,0.2251
0.760,0.000,0.000,0.000,0.0010,0.2671,0.1074,6.91,0.1438
0.781,0.000,0.000,0.000,0.0123,0.2665,0.1075,6.90,0.2193
0.801,0.000,0.000,0.000,0.0077,0.2660,0.1076,9.27,0.1789
0.821,0.000,0.000,0.000,0.0038,0.2656,0.1077,7.03,0.1916
0.840,0.000,0.000,0.000,0.0058,0.2653,0.1078,8.02,0.1873
0.861,0.000,0.000,0.000,0.0025,0.2652,0.1078,7.72,0.1555
0.881,0.000,0.000,0.000,0.0079,0.2649,0.1079,7.03,0.2171
0.902,0.000,0.000,0.000,0.0072,0.2644,0.1080,8.97,0.2207
0.920,0.000,0.000,0.000,0.0046,0.2644,0.1080,8.77,0.1754
0.940,0.000,0.000,0.000,0.0067,0.2641,0.1080,8.49,0.1960
0.960,0.000,0.000,0.000,0.0100,0.2641,0.1080,8.05,0.1957
0.981,0.000,0.000,0.000,0.0062,0.2640,0.1080,7.62,0.1514
1.000,0.000,0.000,0.000,0.0034,0.2640,0.1080,6.53,0.2134
1.021,0.000,0.000,0.000,0.0026,0.2637,0.1081,8.64,0.1947
1.041,0.000,0.000,0.000,0.0039,0.2637,0.1081,7.44,0.1775
1.061,0.000,0.000,0.000,0.0089,0.2637,0.1080,7.35,0.1997
1.081,0.000,0.000,0.000,0.0042,0.2638,0.1080,7.54,0.1431
1.101,0.000,0.000,0.000,0.0050,0.2639,0.1079,7.22,0.2072
1.121,0.000,0.000,0.000,0.0086,0.2638,0.1079,8.48,0.1933
1.141,0.000,0.000,0.000,0.0024,0.2639,0.1078,7.17,0.1836
1.161,0.000,0.000,0.000,0.0084,0.2640,0.1078,7.51,0.1706
1.180,0.000,0.000,0.000,0.0032,0.2642,0.1077,6.30,0.1557
1.200,0.000,0.000,0.000,0.0046,0.2641,0.1077,6.51,0.1968
1.221,0.000,0.000,0.000,0.0051,0.2640,0.1077,7.95,0.1870
1.240,0.000,0.000,0.000,0.0028,0.2640,0.1077,7.25,0.1763
1.261,0.000,0.000,0.000,0.0071,0.2640,0.1077,7.16,0.1614
1.280,0.000,0.000,0.000,0.0038,0.2641,0.1076,6.27,0.1523
1.302,0.000,0.000,0.000,0.0025,0.2641,0.1076,6.23,0.1815
1.321,0.000,0.000,0.000,0.0035,0.2640,0.1077,7.34,0.1804
1.342,0.000,0.000,0.000,0.0026,0.2639,0.1077,7.14,0.1679
1.360,0.000,0.000,0.000,0.0040,0.2639,0.1076,6.77,0.1655
1.380,0.000,0.000,0.000,0.0040,0.2639,0.1076,6.60,0.1594
1.400,0.000,0.000,0.000,0.0029,0.2639,0.1076,6.35,0.1583
1.420,0.000,0.000,0.000,0.0025,0.2639,0.1077,6.36,0.1683
1.440,0.000,0.000,0.000,0.0025,0.2639,0.1077,6.76,0.1685
1.461,0.000,0.000,0.000,0.0025,0.2638,0.1077,6.74,0.1649
1.481,0.000,0.000,0.000,0.0025,0.2638,0.1077,6.59,0.1632
1.501,0.000,0.000,0.000,0.0025,0.2638,0.1077,6.52,0.1633
1.522,0.000,0.000,0.000,0.0024,0.2638,0.1077,6.52,0.1632
1.542,0.000,0.000,0.000,0.0024,0.2638,0.1077,6.52,0.1630
1.561,0.000,0.000,0.000,0.0024,0.2638,0.1077,6.52,0.1629
1.582,0.000,0.000,0.000,0.0023,0.2638,0.1077,6.51,0.1628
1.601,0.000,0.000,0.000,0.0023,0.2638,0.1077,6.51,0.1628
1.620,0.000,0.000,0.000,0.0023,0.2638,0.1077,6.51,0.1627
1.642,0.000,0.000,0.000,0.0023,0.2638,0.1077,6.50,0.1626
1.660,0.000,0.000,0.000,0.0023,0.2638,0.1077,6.50,0.1625
1.681,0.000,0.000,0.000,0.0022,0.2638,0.1077,6.50,0.1625
1.705,0.000,0.000,0.000,0.0022,0.2638,0.1077,6.50,0.1624
1.725,0.000,0.000,0.000,0.0022,0.2638,0.1077,6.49,0.1624
1.742,0.000,0.000,0.000,0.0022,0.2638,0.1077,6.49,0.1623
1.762,0.000,0.000,0.000,0.0021,0.2638,0.1077,6.49,0.1623
1.781,0.000,0.000,0.000,0.0021,0.2638,0.1077,6.49,0.1622
1.800,0.000,0.000,0.000,0.0021,0.2638,0.1077,6.49,0.1622
1.820,0.000,0.000,0.000,0.0020,0.2638,0.1077,6.49,0.1621
1.841,0.000,0.000,0.000,0.0020,0.2638,0.1077,6.48,0.1621
1.860,0.000,0.000,0.000,0.0020,0.2638,0.1076,6.48,0.1620
1.880,0.000,0.000,0.000,0.0020,0.2638,0.1076,6.48,0.1620
1.900,0.000,0.000,0.000,0.0020,0.2638,0.1076,6.48,0.1620
1.920,0.000,0.000,0.000,0.0020,0.2638,0.1076,6.48,0.1619
1.942,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.48,0.1619
1.960,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.48,0.1620
1.981,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.49,0.1621
2.001,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.49,0.1621
2.020,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.49,0.1622
2.041,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.50,0.1623
2.060,0.000,0.000,0.000,0.0019,0.2638,0.1076,6.50,0.1623
2.080,0.000,0.000,0.000,0.0018,0.2638,0.1076,6.50,0.1624
2.100,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.50,0.1625
2.120,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.51,0.1626
2.141,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.51,0.1627
2.161,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.51,0.1627
2.181,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.51,0.1628
2.200,0.000,0.000,0.000,0.0018,0.2637,0.1076,6.52,0.1628
2.221,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.52,0.1629
2.241,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.52,0.1629
2.260,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.52,0.1630
2.280,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.53,0.1631
2.301,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.53,0.1631
2.320,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.53,0.1632
2.340,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.53,0.1633
2.360,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.53,0.1633
2.380,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.54,0.1634
2.400,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.54,0.1634
2.421,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.54,0.1635
2.441,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.54,0.1635
2.460,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.55,0.1636
2.481,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.55,0.1636
2.500,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.55,0.1637
2.520,0.000,0.000,0.000,0.0017,0.2637,0.1076,6.55,0.1637
2.540,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.55,0.1638
2.562,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1638
2.582,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1639
2.601,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1639
2.620,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1639
2.640,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1640
2.660,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.56,0.1640
2.680,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1641
2.700,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1641
2.720,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1642
2.741,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1642
2.761,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1643
2.780,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.57,0.1643
2.800,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1643
2.820,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1644
2.840,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1644
2.860,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1644
2.881,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1645
2.900,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1645
2.920,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.58,0.1645
2.941,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1646
2.960,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1646
2.980,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1646
3.002,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1647
3.022,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1647
3.040,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1648
3.060,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.59,0.1648
3.080,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.60,0.1648
3.100,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.60,0.1649
3.122,0.000,0.000,0.000,0.0016,0.2637,0.1076,6.60,0.1649
3.141,0.000,0.000,0.000,0.0016,0.2636,0.1076,6.60,0.1649
3.160,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.60,0.1650
3.180,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.60,0.1650
3.200,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.60,0.1650
3.220,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.60,0.1650
3.240,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1651
3.260,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1651
3.280,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1651
3.300,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1652
3.321,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1652
3.341,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1652
3.360,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1653
3.381,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1653
3.401,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1653
3.420,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.61,0.1653
3.442,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1654
3.461,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1654
3.481,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1654
3.501,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1655
3.521,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1655
3.540,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1655
3.560,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1655
3.581,0.000,0.000,0.000,0.0017,0.2636,0.1076,6.62,0.1655
3.600,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1656
3.621,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1656
3.640,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1656
3.661,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1657
3.680,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1657
3.700,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1657
3.720,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1657
3.742,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1658
3.760,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1658
3.780,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1658
3.801,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.63,0.1658
3.820,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1658
3.841,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1659
3.860,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1659
3.881,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1659
3.900,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1659
3.921,0.000,0.000,0.000,0.0018,0.2636,0.1076,6.64,0.1660
3.940,0.000,0.000,0.000,0.0019,0.2636,0.1076,6.64,0.1660
3.960,0.000,0.000,0.000,0.0019,0.2636,0.1076,6.64,0.1660
3.980,0.000,0.000,0.000,0.0019,0.2636,0.1076,6.64,0.1660
4.001,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.64,0.1661
4.020,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.64,0.1661
4.041,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.64,0.1661
4.060,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1661
4.081,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1661
4.100,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1662
4.120,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1662
4.140,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1662
4.162,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1662
4.181,0.000,0.000,0.000,0.0019,0.2636,0.1075,6.65,0.1662
4.200,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.65,0.1663
4.221,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.65,0.1663
4.240,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.65,0.1663
4.262,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.65,0.1663
4.281,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1664
4.301,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1664
4.322,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1664
4.342,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1664
4.361,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1664
4.380,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.401,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.421,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.440,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.460,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.481,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1665
4.501,0.000,0.000,0.000,0.0020,0.2636,0.1075,6.66,0.1666
4.520,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.66,0.1666
4.540,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.66,0.1666
4.560,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1666
4.580,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1666
4.601,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.621,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.641,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.661,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.680,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.700,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.721,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1667
4.740,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1668
4.760,0.000,0.000,0.000,0.0021,0.2636,0.1075,6.67,0.1668
4.782,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.67,0.1668
4.800,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.67,0.1668
4.820,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.67,0.1668
4.840,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.67,0.1668
4.860,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.881,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.901,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.921,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.941,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.961,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1669
4.981,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.000,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.020,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.040,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.060,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.080,0.000,0.000,0.000,0.0022,0.2636,0.1075,6.68,0.1670
5.102,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.68,0.1670
5.121,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.68,0.1671
5.140,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.68,0.1671
5.161,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.68,0.1671
5.180,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.68,0.1671
5.200,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.69,0.1671
5.220,0.000,0.000,0.000,0.0023,0.2636,0.1075,6.69,0.1671
5.240,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1671
5.262,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.282,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.300,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.322,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.342,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.362,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.381,0.000,0.000,0.000,0.0023,0.2635,0.1075,6.69,0.1672
5.401,0.000,0.000,0.000,0.0024,0.2635,0.1075,6.69,0.1672
5.422,0.000,0.000,0.000,0.0024,0.2635,0.1075,6.69,0.1673
5.441,0.000,0.000,0.000,0.0024,0.2635,0.1075,6.69,0.1673
5.462,0.000,0.000,0.000,0.0024,0.2635,0.1075,6.69,0.1673
5.482,0.000,0.000,0.000,0.0024,0.2635,0.1075,6.69,0.1673
5.502,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.69,0.1673
5.521,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.69,0.1673
5.541,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.69,0.1673
5.561,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.69,0.1674
5.580,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.601,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.620,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.641,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.661,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.680,0.000,0.000,0.000,0.0024,0.2635,0.1074,6.70,0.1674
5.700,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1674
5.721,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.741,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.761,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.782,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.801,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.822,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.840,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.861,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.881,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1675
5.901,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1676
5.921,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1676
5.941,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1676
5.960,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1676
5.981,0.000,0.000,0.000,0.0025,0.2635,0.1074,6.70,0.1676
6.000,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1676
6.021,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1676
6.041,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1676
6.062,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1676
6.080,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.100,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.120,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.140,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.162,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.182,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.202,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.220,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.240,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1677
6.262,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1678
6.282,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1678
6.300,0.000,0.000,0.000,0.0026,0.2635,0.1074,6.71,0.1678
6.322,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.340,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.360,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.382,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.402,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.421,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1678
6.442,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.71,0.1679
6.461,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.480,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.502,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.521,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.542,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.562,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.582,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.601,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.621,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1679
6.641,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1680
6.661,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1680
6.681,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1680
6.701,0.000,0.000,0.000,0.0027,0.2635,0.1074,6.72,0.1680
6.721,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.741,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.762,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.782,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.800,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.822,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1680
6.841,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1681
6.861,0.000,0.000,0.000,0.0028,0.2635,0.1074,6.72,0.1681
6.882,0.000,0.000,0.000,0.0028,0.2635,0.1073,6.72,0.1681
6.902,0.000,0.000,0.000,0.0028,0.2635,0.1073,6.72,0.1681
6.922,0.000,0.000,0.000,0.0028,0.2635,0.1073,6.72,0.1681
6.941,0.000,0.000,0.000,0.0028,0.2635,0.1073,6.72,0.1681
