t,visible,lateral,tamano,confianza,vx,wz
1.739,1,0.0260,0.2932,0.913,0.1200,0.0000
1.926,1,0.0422,0.4688,0.913,0.2000,0.0000
2.002,1,0.0515,0.5768,0.910,0.1547,0.0000
2.075,1,0.0567,0.6419,0.910,0.1105,0.0000
2.152,1,0.0587,0.6813,0.909,0.0643,0.0000
2.207,1,0.0597,0.7052,0.910,0.0317,0.0000
2.261,1,0.0602,0.7191,0.909,0.0000,0.0000
2.323,1,0.0646,0.7269,0.904,-0.0374,0.0000
2.388,1,0.0753,0.7316,0.909,-0.0764,0.0000
2.455,1,0.0902,0.7354,0.895,-0.1166,0.0000
2.519,1,0.1168,0.7368,0.898,-0.1551,0.0000
2.572,1,0.1410,0.7380,0.902,-0.1864,0.0000
2.623,1,0.1558,0.7394,0.912,-0.2000,-0.0311
2.688,1,0.1706,0.7408,0.918,-0.2000,-0.0696
2.755,1,0.1805,0.7422,0.920,-0.2000,-0.1101
2.819,1,0.1878,0.7437,0.921,-0.2012,-0.1487
2.888,1,0.1922,0.7453,0.923,-0.2034,-0.1902
2.955,1,0.1963,0.7466,0.922,-0.2053,-0.2302
3.019,1,0.1993,0.7477,0.921,-0.2068,-0.2500
3.083,1,0.2008,0.7488,0.925,-0.2084,-0.2500
3.151,1,0.2023,0.7495,0.926,-0.2093,-0.2500
3.219,1,0.2040,0.7498,0.929,-0.2098,-0.2500
3.288,1,0.2056,0.7500,0.930,-0.2100,-0.2500
3.352,1,0.2064,0.7497,0.932,-0.2096,-0.2500
3.420,1,0.2071,0.7497,0.932,-0.2096,-0.2500
3.489,1,0.2076,0.7500,0.930,-0.2100,-0.2500
3.552,1,0.2079,0.7505,0.931,-0.2107,-0.2500
3.620,1,0.2082,0.7510,0.931,-0.2114,-0.2500
3.682,1,0.2085,0.7513,0.931,-0.2119,-0.2501
3.750,1,0.2088,0.7516,0.930,-0.2122,-0.2506
3.819,1,0.2091,0.7518,0.929,-0.2126,-0.2509
3.882,1,0.2093,0.7520,0.928,-0.2128,-0.2512
3.951,1,0.2097,0.7521,0.929,-0.2130,-0.2516
4.019,1,0.2098,0.7524,0.929,-0.2133,-0.2517
4.084,1,0.2100,0.7528,0.928,-0.2139,-0.2520
4.153,1,0.2101,0.7532,0.928,-0.2144,-0.2522
4.201,1,0.2102,0.7536,0.927,-0.2150,-0.2522
4.252,1,0.2102,0.7539,0.927,-0.2154,-0.2522
4.315,1,0.2102,0.7541,0.928,-0.2158,-0.2522
4.384,1,0.2105,0.7545,0.926,-0.2162,-0.2525
4.451,1,0.2108,0.7547,0.925,-0.2166,-0.2529
4.514,1,0.2115,0.7556,0.924,-0.2179,-0.2538
4.582,1,0.2115,0.7556,0.918,-0.2178,-0.2538
4.650,1,0.2096,0.7557,0.911,-0.2179,-0.2515
4.716,1,0.2062,0.7557,0.909,-0.2180,-0.2500
4.783,1,0.1993,0.7556,0.910,-0.2178,-0.2500
