v_cmd,t,P_mecanica_W,P_electrica_W,voltaje_V,corriente_A,inclinacion_rad,altura_m
0.20,3.001,10.15,0.00,0.00,0.000,0.0041,0.2717
0.20,3.021,5.97,0.00,0.00,0.000,0.0047,0.2720
0.20,3.041,10.28,0.00,0.00,0.000,0.0050,0.2708
0.20,3.062,11.73,0.00,0.00,0.000,0.0062,0.2680
0.20,3.081,3.57,0.00,0.00,0.000,0.0065,0.2647
0.20,3.106,2.49,0.00,0.00,0.000,0.0067,0.2630
0.20,3.121,3.97,0.00,0.00,0.000,0.0078,0.2615
0.20,3.141,4.76,0.00,0.00,0.000,0.0095,0.2606
0.20,3.161,5.01,0.00,0.00,0.000,0.0113,0.2599
0.20,3.181,4.82,0.00,0.00,0.000,0.0123,0.2595
0.20,3.201,4.42,0.00,0.00,0.000,0.0124,0.2591
0.20,3.221,4.25,0.00,0.00,0.000,0.0120,0.2591
0.20,3.241,5.12,0.00,0.00,0.000,0.0108,0.2600
0.20,3.261,5.33,0.00,0.00,0.000,0.0101,0.2628
0.20,3.281,14.59,0.00,0.00,0.000,0.0096,0.2660
0.20,3.301,7.23,0.00,0.00,0.000,0.0096,0.2724
0.20,3.321,5.99,0.00,0.00,0.000,0.0102,0.2736
0.20,3.340,10.24,0.00,0.00,0.000,0.0088,0.2726
0.20,3.360,18.04,0.00,0.00,0.000,0.0068,0.2708
0.20,3.381,6.73,0.00,0.00,0.000,0.0059,0.2658
0.20,3.400,3.47,0.00,0.00,0.000,0.0063,0.2626
0.20,3.421,2.39,0.00,0.00,0.000,0.0065,0.2607
0.20,3.441,1.76,0.00,0.00,0.000,0.0065,0.2589
0.20,3.461,2.85,0.00,0.00,0.000,0.0051,0.2578
0.20,3.482,2.94,0.00,0.00,0.000,0.0047,0.2577
0.20,3.501,2.48,0.00,0.00,0.000,0.0039,0.2575
0.20,3.521,1.83,0.00,0.00,0.000,0.0039,0.2584
0.20,3.541,3.38,0.00,0.00,0.000,0.0037,0.2602
0.20,3.561,5.17,0.00,0.00,0.000,0.0034,0.2632
0.20,3.581,7.70,0.00,0.00,0.000,0.0041,0.2673
0.20,3.602,10.83,0.00,0.00,0.000,0.0068,0.2708
0.20,3.622,5.48,0.00,0.00,0.000,0.0082,0.2721
0.20,3.641,8.30,0.00,0.00,0.000,0.0081,0.2715
0.20,3.661,8.44,0.00,0.00,0.000,0.0083,0.2684
0.20,3.684,4.41,0.00,0.00,0.000,0.0082,0.2651
0.20,3.701,3.56,0.00,0.00,0.000,0.0082,0.2637
0.20,3.721,3.18,0.00,0.00,0.000,0.0094,0.2617
0.20,3.741,4.16,0.00,0.00,0.000,0.0108,0.2609
0.20,3.761,4.27,0.00,0.00,0.000,0.0127,0.2598
0.20,3.787,4.05,0.00,0.00,0.000,0.0131,0.2590
0.20,3.804,4.05,0.00,0.00,0.000,0.0131,0.2590
0.20,3.822,4.13,0.00,0.00,0.000,0.0123,0.2587
0.20,3.841,6.79,0.00,0.00,0.000,0.0109,0.2601
0.20,3.861,10.44,0.00,0.00,0.000,0.0097,0.2621
0.20,3.884,15.13,0.00,0.00,0.000,0.0091,0.2655
0.20,3.901,14.40,0.00,0.00,0.000,0.0099,0.2705
0.20,3.923,13.47,0.00,0.00,0.000,0.0104,0.2715
0.20,3.942,9.68,0.00,0.00,0.000,0.0094,0.2724
0.20,3.960,12.40,0.00,0.00,0.000,0.0074,0.2696
0.20,3.980,9.02,0.00,0.00,0.000,0.0059,0.2660
0.20,4.000,4.35,0.00,0.00,0.000,0.0054,0.2627
0.20,4.021,3.35,0.00,0.00,0.000,0.0054,0.2604
0.20,4.040,2.54,0.00,0.00,0.000,0.0050,0.2589
0.20,4.061,2.67,0.00,0.00,0.000,0.0041,0.2582
0.20,4.082,2.65,0.00,0.00,0.000,0.0029,0.2579
0.20,4.102,2.17,0.00,0.00,0.000,0.0022,0.2581
0.20,4.122,2.17,0.00,0.00,0.000,0.0023,0.2588
0.20,4.141,4.50,0.00,0.00,0.000,0.0022,0.2600
0.20,4.161,3.70,0.00,0.00,0.000,0.0020,0.2635
0.20,4.181,8.93,0.00,0.00,0.000,0.0030,0.2676
0.20,4.201,10.75,0.00,0.00,0.000,0.0069,0.2720
0.20,4.222,5.15,0.00,0.00,0.000,0.0082,0.2731
0.20,4.241,8.44,0.00,0.00,0.000,0.0078,0.2723
0.20,4.261,28.33,0.00,0.00,0.000,0.0075,0.2692
0.20,4.281,5.02,0.00,0.00,0.000,0.0075,0.2661
0.20,4.301,3.46,0.00,0.00,0.000,0.0077,0.2643
0.20,4.321,3.08,0.00,0.00,0.000,0.0096,0.2619
0.20,4.348,4.04,0.00,0.00,0.000,0.0110,0.2611
0.20,4.361,3.82,0.00,0.00,0.000,0.0121,0.2603
0.20,4.381,3.94,0.00,0.00,0.000,0.0124,0.2600
0.20,4.401,3.80,0.00,0.00,0.000,0.0125,0.2596
0.20,4.421,3.74,0.00,0.00,0.000,0.0120,0.2595
0.20,4.441,4.64,0.00,0.00,0.000,0.0110,0.2603
0.20,4.461,8.39,0.00,0.00,0.000,0.0101,0.2629
0.20,4.482,14.18,0.00,0.00,0.000,0.0095,0.2662
0.20,4.501,9.42,0.00,0.00,0.000,0.0100,0.2725
0.20,4.521,5.76,0.00,0.00,0.000,0.0107,0.2736
0.20,4.541,9.24,0.00,0.00,0.000,0.0088,0.2726
0.20,4.561,8.57,0.00,0.00,0.000,0.0069,0.2698
0.20,4.582,6.83,0.00,0.00,0.000,0.0059,0.2669
0.20,4.601,3.80,0.00,0.00,0.000,0.0054,0.2634
0.20,4.623,3.29,0.00,0.00,0.000,0.0055,0.2609
0.20,4.641,2.07,0.00,0.00,0.000,0.0052,0.2592
0.20,4.661,2.40,0.00,0.00,0.000,0.0046,0.2585
0.20,4.680,2.32,0.00,0.00,0.000,0.0032,0.2580
0.20,4.709,1.74,0.00,0.00,0.000,0.0033,0.2583
0.20,4.726,2.00,0.00,0.00,0.000,0.0033,0.2585
0.20,4.742,5.54,0.00,0.00,0.000,0.0032,0.2600
0.20,4.760,3.42,0.00,0.00,0.000,0.0026,0.2635
0.20,4.781,4.71,0.00,0.00,0.000,0.0027,0.2673
0.20,4.808,6.28,0.00,0.00,0.000,0.0061,0.2730
0.20,4.821,2.80,0.00,0.00,0.000,0.0067,0.2734
0.20,4.841,8.37,0.00,0.00,0.000,0.0066,0.2725
0.20,4.861,14.80,0.00,0.00,0.000,0.0065,0.2695
0.20,4.881,3.15,0.00,0.00,0.000,0.0067,0.2659
0.20,4.901,2.55,0.00,0.00,0.000,0.0075,0.2636
0.20,4.921,3.50,0.00,0.00,0.000,0.0093,0.2622
0.20,4.941,3.61,0.00,0.00,0.000,0.0108,0.2613
0.20,4.961,3.71,0.00,0.00,0.000,0.0116,0.2607
0.20,4.981,3.63,0.00,0.00,0.000,0.0119,0.2604
0.20,5.000,3.77,0.00,0.00,0.000,0.0121,0.2600
0.20,5.021,3.58,0.00,0.00,0.000,0.0118,0.2598
0.20,5.041,4.43,0.00,0.00,0.000,0.0108,0.2606
0.20,5.061,16.60,0.00,0.00,0.000,0.0099,0.2645
0.20,5.081,14.22,0.00,0.00,0.000,0.0093,0.2677
0.20,5.101,13.47,0.00,0.00,0.000,0.0096,0.2722
0.20,5.130,6.98,0.00,0.00,0.000,0.0103,0.2739
0.20,5.141,3.65,0.00,0.00,0.000,0.0095,0.2735
0.20,5.161,29.58,0.00,0.00,0.000,0.0070,0.2706
0.20,5.181,5.27,0.00,0.00,0.000,0.0061,0.2663
0.20,5.201,7.34,0.00,0.00,0.000,0.0063,0.2641
0.20,5.221,3.85,0.00,0.00,0.000,0.0065,0.2617
0.20,5.241,1.58,0.00,0.00,0.000,0.0063,0.2596
0.20,5.261,2.04,0.00,0.00,0.000,0.0049,0.2586
0.20,5.282,2.15,0.00,0.00,0.000,0.0038,0.2583
0.20,5.301,1.66,0.00,0.00,0.000,0.0033,0.2584
0.20,5.321,1.98,0.00,0.00,0.000,0.0033,0.2591
0.20,5.342,3.29,0.00,0.00,0.000,0.0033,0.2609
0.20,5.361,4.05,0.00,0.00,0.000,0.0034,0.2638
0.20,5.381,9.31,0.00,0.00,0.000,0.0043,0.2679
0.20,5.401,4.72,0.00,0.00,0.000,0.0076,0.2723
0.20,5.421,5.73,0.00,0.00,0.000,0.0085,0.2727
0.20,5.441,9.27,0.00,0.00,0.000,0.0087,0.2716
0.20,5.464,14.24,0.00,0.00,0.000,0.0087,0.2695
0.20,5.480,5.45,0.00,0.00,0.000,0.0082,0.2655
0.20,5.500,2.79,0.00,0.00,0.000,0.0084,0.2631
0.20,5.522,2.68,0.00,0.00,0.000,0.0093,0.2619
0.20,5.541,3.60,0.00,0.00,0.000,0.0109,0.2608
0.20,5.561,3.80,0.00,0.00,0.000,0.0120,0.2600
0.20,5.581,3.88,0.00,0.00,0.000,0.0125,0.2595
0.20,5.601,3.78,0.00,0.00,0.000,0.0123,0.2590
