t,visible,lateral,tamano,confianza,vx,wz
1.712,1,-0.0438,0.2319,0.898,0.1200,0.0000
1.888,1,-0.0685,0.3709,0.912,0.2254,0.0000
1.962,1,-0.0418,0.5110,0.907,0.1812,0.0000
2.037,1,-0.0265,0.5912,0.921,0.1361,0.0000
2.100,1,-0.0120,0.6458,0.911,0.0981,0.0000
2.139,1,-0.0031,0.6815,0.903,0.0751,0.0000
2.231,1,0.0040,0.7084,0.894,0.0197,0.0000
2.318,1,0.0347,0.7243,0.880,-0.0327,0.0000
2.398,1,0.1086,0.7489,0.873,-0.0805,0.0000
2.452,1,0.1851,0.7600,0.896,-0.1127,-0.0322
2.505,1,0.2273,0.7603,0.896,-0.1450,-0.0644
2.559,1,0.2372,0.7579,0.882,-0.1774,-0.0969
2.619,1,0.2349,0.7493,0.902,-0.2090,-0.1325
2.673,1,0.2261,0.7441,0.898,-0.2017,-0.1647
2.725,1,0.2069,0.7392,0.907,-0.2000,-0.1961
2.786,1,0.1804,0.7341,0.919,-0.2000,-0.2329
2.854,1,0.1434,0.7317,0.906,-0.2000,-0.1923
2.918,1,0.1033,0.7309,0.917,-0.2000,-0.1536
2.986,1,0.0628,0.7313,0.929,-0.2000,-0.1129
3.041,1,0.0317,0.7296,0.923,-0.2000,-0.0798
3.119,1,0.0146,0.7238,0.917,-0.2000,-0.0332
3.187,1,0.0066,0.7161,0.908,-0.2000,0.0000
3.235,1,0.0040,0.7053,0.909,-0.2000,0.0000
3.322,1,0.0036,0.6916,0.908,-0.1477,0.0000
3.396,1,0.0080,0.6769,0.903,-0.1032,0.0000
3.447,1,0.0146,0.6605,0.901,-0.0724,0.0000
3.502,1,0.0221,0.6481,0.905,-0.0394,0.0000
3.614,1,0.0279,0.6397,0.904,0.0000,0.0000
3.682,1,0.0284,0.6320,0.907,0.0000,0.0000
3.722,1,0.0249,0.6258,0.901,0.0000,0.0000
3.769,1,0.0187,0.6191,0.894,0.0000,0.0000
3.878,1,0.0091,0.6147,0.894,0.0000,0.0000
3.961,1,-0.0021,0.6105,0.903,0.0000,0.0000
4.014,1,-0.0138,0.6076,0.907,0.0000,0.0000
4.067,1,-0.0232,0.6058,0.910,0.0000,0.0000
4.121,1,-0.0288,0.6043,0.908,0.0000,0.0000
4.183,1,-0.0312,0.6026,0.907,0.0000,0.0000
4.253,1,-0.0289,0.6002,0.909,0.0000,0.0000
4.313,1,-0.0230,0.5989,0.910,0.0000,0.0000
4.366,1,-0.0169,0.5982,0.906,0.0000,0.0000
4.417,1,-0.0106,0.5982,0.902,0.0000,0.0000
4.481,1,-0.0048,0.5969,0.897,0.0000,0.0000
4.549,1,-0.0000,0.5954,0.895,0.0000,0.0000
4.614,1,0.0031,0.5947,0.894,0.0000,0.0000
4.680,1,0.0053,0.5940,0.897,0.0000,0.0000
4.748,1,0.0068,0.5932,0.898,0.0000,0.0000
4.814,1,0.0086,0.5927,0.897,0.0000,0.0000
4.882,1,0.0109,0.5924,0.897,0.0000,0.0000
4.949,1,0.0127,0.5921,0.898,0.0000,0.0000
5.033,1,0.0152,0.5918,0.898,0.0000,0.0000
5.087,1,0.0171,0.5914,0.899,0.0000,0.0000
5.147,1,0.0189,0.5912,0.900,0.0000,0.0000
5.233,1,0.0213,0.5910,0.897,0.0000,0.0000
5.295,1,0.0226,0.5911,0.897,0.0000,0.0000
5.349,1,0.0235,0.5912,0.898,0.0000,0.0000
5.443,1,0.0240,0.5912,0.898,0.0000,0.0000
5.504,1,0.0247,0.5910,0.897,0.0000,0.0000
5.558,1,0.0248,0.5909,0.896,0.0000,0.0000
5.614,1,0.0243,0.5910,0.896,0.0000,0.0000
5.679,1,0.0245,0.5908,0.896,0.0000,0.0000
5.746,1,0.0241,0.5909,0.897,0.0000,0.0000
5.815,1,0.0242,0.5906,0.896,0.0000,0.0000
5.878,1,0.0240,0.5906,0.897,0.0000,0.0000
5.947,1,0.0239,0.5906,0.896,0.0000,0.0000
6.011,1,0.0238,0.5906,0.897,0.0000,0.0000
6.064,1,0.0239,0.5907,0.895,0.0000,0.0000
6.117,1,0.0241,0.5907,0.895,0.0000,0.0000
6.178,1,0.0239,0.5907,0.898,0.0000,0.0000
6.247,1,0.0235,0.5907,0.899,0.0000,0.0000
6.311,1,0.0232,0.5908,0.900,0.0000,0.0000
6.378,1,0.0230,0.5907,0.899,0.0000,0.0000
6.446,1,0.0227,0.5908,0.899,0.0000,0.0000
6.510,1,0.0224,0.5910,0.900,0.0000,0.0000
6.578,1,0.0221,0.5910,0.900,0.0000,0.0000
6.642,1,0.0214,0.5909,0.900,0.0000,0.0000
6.710,1,0.0210,0.5911,0.902,0.0000,0.0000
6.776,1,0.0208,0.5913,0.901,0.0000,0.0000
6.842,1,0.0204,0.5913,0.901,0.0000,0.0000
6.909,1,0.0201,0.5913,0.900,0.0000,0.0000
6.979,1,0.0197,0.5914,0.900,0.0000,0.0000
7.042,1,0.0197,0.5913,0.900,0.0000,0.0000
7.111,1,0.0197,0.5914,0.900,0.0000,0.0000
7.176,1,0.0200,0.5914,0.899,0.0000,0.0000
7.242,1,0.0201,0.5914,0.900,0.0000,0.0000
7.310,1,0.0199,0.5914,0.900,0.0000,0.0000
7.374,1,0.0198,0.5915,0.900,0.0000,0.0000
7.441,1,0.0202,0.5917,0.901,0.0000,0.0000
7.510,1,0.0206,0.5916,0.900,0.0000,0.0000
7.574,1,0.0208,0.5918,0.900,0.0000,0.0000
7.649,1,0.0209,0.5918,0.900,0.0000,0.0000
7.709,1,0.0212,0.5916,0.900,0.0000,0.0000
7.763,1,0.0215,0.5915,0.901,0.0000,0.0000
7.816,1,0.0221,0.5916,0.901,0.0000,0.0000
7.874,1,0.0228,0.5917,0.900,0.0000,0.0000
7.941,1,0.0236,0.5918,0.898,0.0000,0.0000
8.005,1,0.0243,0.5919,0.896,0.0000,0.0000
8.076,1,0.0252,0.5917,0.896,0.0000,0.0000
8.144,1,0.0257,0.5917,0.897,0.0000,0.0000
8.207,1,0.0262,0.5919,0.896,0.0000,0.0000
8.274,1,0.0268,0.5921,0.896,0.0000,0.0000
8.339,1,0.0275,0.5922,0.896,0.0000,0.0000
8.406,1,0.0278,0.5924,0.897,0.0000,0.0000
8.474,1,0.0281,0.5925,0.898,0.0000,0.0000
8.538,1,0.0282,0.5930,0.897,0.0000,0.0000
8.607,1,0.0281,0.5936,0.897,0.0000,0.0000
8.674,1,0.0282,0.5940,0.897,0.0000,0.0000
8.738,1,0.0285,0.5945,0.897,0.0000,0.0000
8.807,1,0.0291,0.5953,0.896,0.0000,0.0000
8.870,1,0.0301,0.5958,0.896,0.0000,0.0000
8.939,1,0.0316,0.5962,0.895,0.0000,0.0000
9.005,1,0.0337,0.5966,0.894,0.0000,0.0000
9.071,1,0.0356,0.5970,0.894,0.0000,0.0000
9.137,1,0.0377,0.5972,0.893,0.0000,0.0000
9.207,1,0.0396,0.5971,0.893,0.0000,0.0000
9.271,1,0.0413,0.5967,0.894,0.0000,0.0000
9.338,1,0.0425,0.5966,0.893,0.0000,0.0000
9.402,1,0.0432,0.5964,0.892,0.0000,0.0000
9.453,1,0.0436,0.5964,0.892,0.0000,0.0000
9.506,1,0.0444,0.5963,0.892,0.0000,0.0000
9.570,1,0.0455,0.5961,0.892,0.0000,0.0000
9.638,1,0.0469,0.5959,0.891,0.0000,0.0000
9.701,1,0.0479,0.5959,0.891,0.0000,0.0000
9.770,1,0.0486,0.5958,0.891,0.0000,0.0000
9.838,1,0.0494,0.5956,0.892,0.0000,0.0000
9.904,1,0.0503,0.5956,0.891,0.0000,0.0000
