t,visible,lateral,tamano,confianza,vx,wz
1.707,1,0.0177,0.3365,0.922,0.1200,0.0000
1.892,1,0.0331,0.5320,0.927,0.0090,0.0000
1.976,1,-0.0096,0.5994,0.917,0.0000,0.0000
2.048,1,-0.0363,0.6399,0.918,0.0000,0.0000
2.104,1,-0.0518,0.6645,0.918,0.0000,0.0000
2.140,1,-0.0614,0.6786,0.918,0.0000,0.0000
2.236,1,-0.0666,0.6864,0.917,0.0000,0.0000
2.273,1,-0.0692,0.6915,0.916,0.0000,0.0000
2.363,1,-0.0703,0.6946,0.917,0.0000,0.0000
2.428,1,-0.0713,0.6960,0.915,0.0000,0.0000
2.472,1,-0.0719,0.6969,0.916,0.0000,0.0000
2.510,1,-0.0723,0.6975,0.916,0.0000,0.0000
2.571,1,-0.0728,0.6986,0.918,0.0000,0.0000
2.662,1,-0.0744,0.6998,0.920,0.0000,0.0000
2.751,1,-0.0762,0.7014,0.921,-0.0536,0.0000
2.825,1,-0.0802,0.7034,0.920,-0.0980,0.0000
2.878,1,-0.0817,0.7048,0.918,-0.1297,0.0000
2.932,1,-0.0814,0.7080,0.916,-0.1619,0.0000
2.986,1,-0.0761,0.7108,0.913,-0.1944,0.0000
3.051,1,-0.0642,0.7121,0.918,-0.2000,0.0000
3.120,1,-0.0505,0.7138,0.926,-0.2000,0.0000
3.186,1,-0.0392,0.7139,0.931,-0.2000,0.0000
3.251,1,-0.0289,0.7122,0.935,-0.2000,0.0000
3.319,1,-0.0178,0.7066,0.925,-0.2000,0.0000
3.386,1,-0.0046,0.7011,0.929,-0.2000,0.0000
3.451,1,0.0077,0.6957,0.935,-0.1610,0.0000
3.518,1,0.0171,0.6878,0.934,-0.1209,0.0000
3.582,1,0.0272,0.6800,0.938,-0.0822,0.0000
3.635,1,0.0350,0.6752,0.935,-0.0507,0.0000
3.688,1,0.0467,0.6717,0.925,-0.0189,0.0000
3.750,1,0.0550,0.6669,0.923,0.0000,0.0000
3.818,1,0.0619,0.6614,0.920,0.0000,0.0000
3.881,1,0.0662,0.6571,0.916,0.0000,0.0000
3.951,1,0.0639,0.6524,0.930,0.0000,0.0000
4.019,1,0.0564,0.6446,0.925,0.0000,0.0000
4.084,1,0.0444,0.6350,0.908,0.0000,0.0000
4.148,1,0.0297,0.6270,0.895,0.0000,0.0000
4.210,1,0.0177,0.6206,0.879,0.0000,0.0000
4.267,1,-0.0015,0.6150,0.886,0.0000,0.0000
4.360,1,-0.0206,0.6101,0.880,0.0000,0.0000
4.447,1,-0.0345,0.6062,0.892,0.0000,0.0000
4.528,1,-0.0415,0.6027,0.891,0.0000,0.0000
4.582,1,-0.0410,0.6001,0.890,0.0000,0.0000
4.650,1,-0.0398,0.5962,0.854,0.0000,0.0000
4.716,1,-0.0383,0.5921,0.858,0.0000,0.0000
4.782,1,-0.0342,0.5891,0.863,0.0000,0.0000
4.846,1,-0.0291,0.5841,0.873,0.0000,0.0000
4.904,1,-0.0252,0.5783,0.880,0.0000,0.0000
5.011,1,-0.0216,0.5741,0.888,0.0000,0.0000
5.079,1,-0.0199,0.5707,0.892,0.0000,0.0000
