t,visible,lateral,tamano,confianza,vx,wz
8.669,1,-0.0676,0.8445,0.915,-0.3423,0.0000
8.738,1,-0.0739,0.8353,0.921,-0.3294,0.0000
8.805,1,-0.0754,0.8257,0.925,-0.3160,0.0000
8.873,1,-0.0685,0.8175,0.920,-0.3045,0.0000
8.939,1,-0.0587,0.8131,0.928,-0.2984,0.0000
9.006,1,-0.0503,0.8093,0.930,-0.2930,0.0000
9.072,1,-0.0423,0.8061,0.923,-0.2886,0.0000
9.136,1,-0.0346,0.8028,0.926,-0.2840,0.0000
9.203,1,-0.0291,0.8009,0.926,-0.2813,0.0000
9.271,1,-0.0239,0.7995,0.922,-0.2793,0.0000
9.338,1,-0.0193,0.8002,0.914,-0.2803,0.0000
9.402,1,-0.0161,0.8024,0.916,-0.2833,0.0000
9.470,1,-0.0157,0.8062,0.916,-0.2887,0.0000
9.536,1,-0.0196,0.8119,0.919,-0.2967,0.0000
9.603,1,-0.0275,0.8189,0.918,-0.3064,0.0000
9.669,1,-0.0379,0.8273,0.917,-0.3182,0.0000
9.735,1,-0.0520,0.8365,0.915,-0.3311,0.0000
9.789,1,-0.0664,0.8435,0.918,-0.3409,0.0000
9.843,1,-0.0870,0.8530,0.916,-0.3542,0.0000
9.899,1,-0.1063,0.8639,0.922,-0.3694,0.0000
9.971,1,-0.1234,0.8759,0.922,-0.3862,0.0000
10.034,1,-0.1354,0.8859,0.920,-0.4000,0.0000
10.102,1,-0.1449,0.8957,0.922,-0.4000,0.0000
10.169,1,-0.1514,0.9061,0.923,-0.4000,0.0404
10.233,1,-0.1518,0.9156,0.918,-0.4000,0.0790
10.300,1,-0.1499,0.9243,0.914,-0.4000,0.0391
10.366,1,-0.1497,0.9337,0.912,-0.4000,0.0000
10.435,1,-0.1507,0.9403,0.913,-0.4000,0.0410
10.501,1,-0.1532,0.9440,0.914,-0.4000,0.0807
10.567,1,-0.1555,0.9480,0.914,-0.4000,0.1202
10.632,1,-0.1574,0.9512,0.915,-0.4000,0.1594
10.701,1,-0.1597,0.9529,0.920,-0.4000,0.2009
10.766,1,-0.1628,0.9539,0.921,-0.4000,0.2400
10.835,1,-0.1669,0.9533,0.926,-0.4000,0.2500
10.897,1,-0.1711,0.9521,0.926,-0.4000,0.2500
10.950,1,-0.1744,0.9508,0.927,-0.4000,0.2500
11.002,1,-0.1774,0.9485,0.930,-0.4000,0.2500
11.067,1,-0.1803,0.9449,0.929,-0.4000,0.2500
