v_cmd,t,P_mecanica_W,P_electrica_W,voltaje_V,corriente_A,inclinacion_rad,altura_m
0.20,3.001,11.16,0.00,0.00,0.000,0.0060,0.2714
0.20,3.021,6.00,0.00,0.00,0.000,0.0080,0.2721
0.20,3.041,5.77,0.00,0.00,0.000,0.0080,0.2717
0.20,3.065,15.54,0.00,0.00,0.000,0.0077,0.2699
0.20,3.081,6.78,0.00,0.00,0.000,0.0075,0.2656
0.20,3.101,3.62,0.00,0.00,0.000,0.0073,0.2636
0.20,3.122,3.82,0.00,0.00,0.000,0.0083,0.2622
0.20,3.141,4.32,0.00,0.00,0.000,0.0102,0.2613
0.20,3.161,4.19,0.00,0.00,0.000,0.0119,0.2605
0.20,3.181,3.88,0.00,0.00,0.000,0.0126,0.2600
0.20,3.201,3.60,0.00,0.00,0.000,0.0122,0.2596
0.20,3.221,3.38,0.00,0.00,0.000,0.0113,0.2594
0.20,3.241,4.64,0.00,0.00,0.000,0.0099,0.2602
0.20,3.261,4.57,0.00,0.00,0.000,0.0092,0.2630
0.20,3.281,8.68,0.00,0.00,0.000,0.0087,0.2657
0.20,3.300,15.52,0.00,0.00,0.000,0.0090,0.2708
0.20,3.321,7.61,0.00,0.00,0.000,0.0107,0.2741
0.20,3.341,4.35,0.00,0.00,0.000,0.0097,0.2737
0.20,3.361,20.27,0.00,0.00,0.000,0.0070,0.2719
0.20,3.381,8.31,0.00,0.00,0.000,0.0055,0.2672
0.20,3.401,5.48,0.00,0.00,0.000,0.0057,0.2641
0.20,3.421,2.96,0.00,0.00,0.000,0.0058,0.2625
0.20,3.442,2.64,0.00,0.00,0.000,0.0058,0.2602
0.20,3.461,2.03,0.00,0.00,0.000,0.0052,0.2592
0.20,3.481,2.15,0.00,0.00,0.000,0.0037,0.2586
0.20,3.502,2.16,0.00,0.00,0.000,0.0032,0.2585
0.20,3.521,3.33,0.00,0.00,0.000,0.0038,0.2589
0.20,3.541,2.30,0.00,0.00,0.000,0.0034,0.2610
0.20,3.560,8.15,0.00,0.00,0.000,0.0028,0.2629
0.20,3.581,15.65,0.00,0.00,0.000,0.0026,0.2668
0.20,3.601,9.28,0.00,0.00,0.000,0.0059,0.2723
0.20,3.621,6.27,0.00,0.00,0.000,0.0075,0.2731
0.20,3.641,9.76,0.00,0.00,0.000,0.0074,0.2724
0.20,3.661,14.79,0.00,0.00,0.000,0.0070,0.2699
0.20,3.681,7.12,0.00,0.00,0.000,0.0070,0.2670
0.20,3.713,2.39,0.00,0.00,0.000,0.0075,0.2637
0.20,3.725,2.88,0.00,0.00,0.000,0.0083,0.2627
0.20,3.741,4.06,0.00,0.00,0.000,0.0100,0.2617
0.20,3.761,3.92,0.00,0.00,0.000,0.0113,0.2607
0.20,3.781,4.10,0.00,0.00,0.000,0.0119,0.2600
0.20,3.801,4.01,0.00,0.00,0.000,0.0119,0.2596
0.20,3.821,3.87,0.00,0.00,0.000,0.0117,0.2593
