t,visible,lateral,tamano,confianza,vx,wz
2.202,1,0.0475,0.2505,0.917,0.1200,0.0000
2.452,1,0.0761,0.4008,0.918,0.2400,0.0000
2.519,1,0.0933,0.4906,0.917,0.2406,0.0000
2.566,1,0.1039,0.5445,0.918,0.2123,0.0000
2.611,1,0.1104,0.5767,0.918,0.1853,0.0000
2.734,1,0.1149,0.5959,0.916,0.1112,0.0000
2.804,1,0.1181,0.6073,0.915,0.0696,0.0000
2.851,1,0.1200,0.6142,0.915,0.0413,-0.0283
2.914,1,0.1210,0.6182,0.916,0.0036,-0.0660
3.004,1,0.1218,0.6208,0.916,0.0000,-0.1205
3.055,1,0.1221,0.6223,0.916,0.0000,-0.1508
3.113,1,0.1212,0.6234,0.919,0.0000,-0.1855
3.210,1,0.1199,0.6244,0.922,0.0000,-0.1271
3.297,1,0.1185,0.6249,0.924,0.0000,-0.0748
3.353,1,0.1177,0.6248,0.924,0.0000,-0.0417
3.438,1,0.1167,0.6246,0.924,0.0000,0.0000
3.479,1,0.1149,0.6237,0.919,0.0000,0.0000
3.587,1,0.1132,0.6225,0.919,0.0000,0.0000
3.641,1,0.1116,0.6211,0.914,0.0000,0.0000
3.690,1,0.1096,0.6209,0.907,0.0000,0.0000
3.738,1,0.1124,0.6212,0.902,0.0000,0.0000
3.865,1,0.1211,0.6213,0.898,0.0000,-0.0762
4.022,1,0.1276,0.6221,0.909,0.0000,-0.1707
4.103,1,0.1336,0.6217,0.915,0.0000,-0.2194
4.162,1,0.1364,0.6215,0.914,0.0000,-0.2545
4.227,1,0.1382,0.6216,0.913,0.0000,-0.2765
4.277,1,0.1395,0.6218,0.912,0.0000,-0.2789
4.365,1,0.1404,0.6220,0.912,0.0000,-0.2808
4.421,1,0.1412,0.6221,0.912,0.0000,-0.2824
4.471,1,0.1416,0.6221,0.913,0.0000,-0.2833
4.594,1,0.1420,0.6217,0.912,0.0000,-0.2840
4.662,1,0.1421,0.6212,0.912,0.0000,-0.2843
4.707,1,0.1424,0.6210,0.913,0.0000,-0.2847
4.819,1,0.1423,0.6209,0.912,0.0000,-0.2847
4.871,1,0.1431,0.6203,0.911,0.0000,-0.2862
4.921,1,0.1440,0.6202,0.912,0.0000,-0.2880
4.971,1,0.1446,0.6201,0.913,0.0000,-0.2891
5.076,1,0.1444,0.6197,0.912,0.0000,-0.2888
5.127,1,0.1445,0.6193,0.911,0.0000,-0.2891
